活动名称	添加时间	主体类型	形式(单选)	场景	机制(Mechanic)(单选)	对屏幕的依赖度（特指视觉展示，不包括拍照行为）	活动简介/举例	备注
Scavenger Hunt	2026/04/30	属性,类别	Cat 5. 需结合拍照	室内,户外	3. 收集/配对 Collect/Match/Pair/Associate/Generalize	低	找到X个有XX共同点的东西（比如颜色，形状，类别）	重要形式之一，可模板化，应用于大部分属性（e.g., 颜色，形状等）和类别（e.g., 动物，花）。同时，中高tier的游戏不要限于“收集”，而是要在收集的物品的基础上进行延展，比如结合拍摄的物体讲个小故事，给拍摄的物体起好玩的名字，讲出拍摄的物体除了指定属性以外的另外一个共同点等
音素寻宝	2026/04/30	属性	Cat 5. 需结合拍照	室内	3. 收集/配对 Collect/Match/Pair/Associate/Generalize	低	我今天很饿，我想吃一些以 /b/ /b/ /b/ 开头的词语。你能找一个这样的‘宝贝’给我看吗？	是Scavenger的形式，但是因为特殊属性因此单独列出，屏幕上可以展示对应的字母
选择路径故事	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	10. 语言/叙事 Imagine/Narrate/Pretend/Roleplay/Retell/Summarize	中	参考Choices（https://play.google.com/store/apps/details?id=com.pixelberrystudios.choices&hl=en_GB），在故事中设置卡点，让孩子参与选择，决定后续故事路径	可能成为很重要的形式之一，但是为保证故事有趣、路径设置合理，可能需要大量预制。可先测试AI能力，如不理想，前期侧重教研人工预制
画画	2026/04/30	物体	Cat 3. 需借助外部材料	室内	6. 搭建/创意 Build/Create/Assemble/Transform/Experiment/Invent	高	AI引导孩子拿纸笔，一步一步完成一个简单的画作	简笔，sketch形式（无需填色），可以预设大量的简笔画，但是需要模板化，使AI能进行步骤拆解。无需每步确认，留足时间即可。孩子最后拍出整体作品“验证”，不用评估质量，重在过程，给予鼓励+小庆祝
跟读单词	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	10. 语言/叙事 Imagine/Narrate/Pretend/Roleplay/Retell/Summarize	中	纯训练孩子跟读（英语或者第二语言），可参考Dex的几种形式	第二语言的几种方式：1）在考虑是否在onboarding的家长端收集“Ethnicity”信息（比如Hispanic/Asian)，如收集，可以作为初始信息，但需与孩子确定；2）在过程中询问孩子，你想听听这个词在“西班牙语”还是“中文”中怎么说？；3）随机选择一个语言（法语等），就做简单的语言介绍，趣味和打开视野为主
搭建	2026/04/30	物体	Cat 3. 需借助外部材料	室内	6. 搭建/创意 Build/Create/Assemble/Transform/Experiment/Invent	中	1. 孩子拍摄了靠垫，问孩子有多少个靠垫，引导孩子把靠垫一个个垒起来搭建一个“城堡”；2. 孩子拍摄橡皮泥，引导孩子捏一个简单的东西；3. 孩子拍摄积木，引导孩子搭建一个东西	具体搭建“什么”，有几个可能的选择：1）让孩子自己说，2）给两个选择，让孩子选，3）直接给建议（甚至给出参考图——适合橡皮泥），引导孩子创作。孩子最后拍出整体作品“验证”，不用评估质量，重在过程，给予鼓励+小庆祝
故事卡点解锁	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	10. 语言/叙事 Imagine/Narrate/Pretend/Roleplay/Retell/Summarize	中	讲一个故事，中间有停顿，让孩子做一个简单的小挑战才能“闯关解锁”，孩子参与的互动比如拍个“X色”的东西，模仿一个动物的声音，跟读一个法语单词等	类似“选择路径故事”，先测验AI能力，如需要，可依赖人工生成；但不同于“选择路径故事”，故事线路固定（没有分支），只是需要孩子参与互动解锁。故事设计最好有一定的“冒险感”
涂色游戏	2026/04/30	物体	Cat 5. 需结合拍照	室内,户外	6. 搭建/创意 Build/Create/Assemble/Transform/Experiment/Invent	高	显示一个线条画，几个模块需要涂色，与孩子共创，让孩子通过拍照来确定不同部分的颜色，然后AI自动涂色，最后作为一个作品与孩子和家长共享	同一个颜色可能用于不同的色块。需要拍摄的颜色要有上限，不宜复杂，但线条画本身要有趣
经典音乐+动作游戏	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内	12. 动作/声音 Motion/Voice	低	经典的Freeze dance和Floor is Lava游戏	需定义这种游戏由什么触发，以及确定版权问题
儿童瑜伽	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内	12. 动作/声音 Motion/Voice	高	图片显示几个儿童瑜伽动作（可以考虑用我们的IP，可以考虑直接IP预制图），让孩子模仿	需定义这种游戏由什么触发。不用孩子拍照检验，重在过程，留足时间即可（参考跟视频跳操）
看部分，猜一猜	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	高	给出动物的一半，或者一个关键的部分，让孩子猜是什么动物	需要AI预制图，统一风格，每次选择3-5张挑战，同一动物可以有多张图（不同部分）。除了动物，可以考虑这种玩法可以扩展到什么其他的类别
理解情绪	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	11. 关爱/共情 Care/Empathize	中	类似Demo中的“小狗”游戏，把对象（比如玩具，动物）至于不同的场景中，让孩子定义此刻的心情。可以配合图片让孩子理解心情和表情	为了降低难度（低龄），可以考虑让孩子选择情绪（它此刻是开心还是困惑？），而不是开放性定义
模仿小动物的声音	2026/04/30	类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	12. 动作/声音 Motion/Voice	低	声音“闪卡”，几种形式：1）可以让孩子自己直接发出动物的声音（这种情况要确保是常见的模仿的动物），2）也可以让孩子模仿，3）可以让孩子说出想听的动物，机器出声	可以考虑配合屏幕展示动物图片
小小策展人	2026/04/30	属性,类别	Cat 5. 需结合拍照	室内,户外	3. 收集/配对 Collect/Match/Pair/Associate/Generalize	低	AI 邀请孩子在家中寻找 3-4 件具有“某种共同点”的物体，并把它们摆放在一起组成一个“微型展览”。AI 不预设分类标准（如颜色、材质、用途），而是通过视觉识别物体后，引导孩子说出他心里的分类逻辑。这旨在锻炼孩子的发散性思维和逻辑归纳能力。	Scavenger的变体。但主要区别是，不是AI定义“共同点”让孩子找物体，而是让孩子找有“共同点”的东西，AI再引导孩子一起定义“共同点”
植物不同部位	2026/04/30	属性	Cat 5. 需结合拍照	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	低	引导孩子拍摄植物的不同位置（叶，花，花蕊等），AI用比较有趣味的方式介绍植物的不同部位和作用	需要让AI生成一些介绍方式，保证多样和有趣
植物不同状态	2026/04/30	属性	Cat 5. 需结合拍照	室内,户外	2. 比较/对比 Compare/Contrast	低	引导孩子拍摄植物叶子的不同状态（绿色，发黄，破损），AI用比较有趣的方式介绍叶子的不同状态的变化，对比，同时介绍一些照护植物的方法（可以是针对这种具体的植物——比如它喜阳还是喜阴；也可以是generic的植物照顾知识）	需要让AI生成一些介绍方式，保证多样和有趣
